1/T,avg,rate,app
20.0,-11.347097826886227,-146.5942803531603,11.332934803190367
19.801980198019802,-11.318629812085138,-144.35013484757803,11.318488727406702
19.6078431372549,-11.289881806007832,-142.15554624186828,11.289742500400166
19.41747572815534,-11.260864315628286,-140.00906951128525,11.260726806190462
19.23076923076923,-11.231587750682944,-137.90931328719353,11.23145205166253
19.047619047619047,-11.20206241428662,-135.85493737560523,11.201928537231424
18.867924528301884,-11.172298494338696,-133.84465041501542,11.172166448245036
18.691588785046726,-11.14230605568353,-131.87720766434046,11.142175847138844
18.518518518518515,-11.112095032989174,-129.95140891245677,11.111966666310309
18.348623853211006,-11.081675224308928,-128.06609650147078,11.081548701675445
18.18181818181818,-11.051056285291974,-126.22015345643268,11.050931606874826
18.018018018018015,-11.020247724008826,-124.41250171473949,11.020124888094188
17.857142857142854,-10.989258896359287,-122.64210044896389,10.989137899467096
17.699115044247787,-10.958099002031101,-120.90794447729445,10.957979839029633
17.543859649122805,-10.926777080978326,-119.20906275618819,10.926659745193376
17.391304347826082,-10.895302010389846,-117.54451695021707,10.895186493709502
17.241379310344826,-10.863682502119094,-115.91340007444138,10.863568795094636
17.09401709401709,-10.831927100547396,-114.31483520496627,10.83181519248825
16.94915254237288,-10.800044180854162,-112.74797425363789,10.799934059920304
16.806722689075627,-10.768041947668188,-111.21199680310849,10.767933600956724
16.666666666666664,-10.7359284340758,-109.70610899875741,10.735821847704358
16.52892561983471,-10.703711500961818,-108.22954249418794,10.703606660147784
16.393442622950815,-10.671398836661249,-106.7815534472388,10.67129572579671
16.260162601626014,-10.638997956899772,-105.36142156365067,10.638896559623504
16.129032258064512,-10.606516205002837,-103.96844918571313,10.606416504267088
15.999999999999996,-10.573960752353432,-102.60196042339302,10.573862730489509
15.87301587301587,-10.541338599080138,-101.26130032560238,10.541242237858512
15.748031496062989,-10.508656574957687,-99.94583408941568,10.508561855645553
15.624999999999996,-10.475921340503028,-98.65494630518214,10.475828243919125
15.503875968992244,-10.44313938825119,-97.38804023560856,10.443047894817084
15.384615384615381,-10.410317044195661,-96.1445371270065,10.410227133984222
15.267175572519081,-10.377460469378889,-94.92387555100919,10.377372122160068
15.151515151515147,-10.34457566161961,-93.72551077516631,10.344488856903808
15.037593984962403,-10.31166845736394,-92.54891416092154,10.311583174442035
14.925373134328355,-10.27874453364838,-91.3935725875663,10.27866075162973
14.814814814814811,-10.245809410163266,-90.25898790084814,10.245727108012204
14.705882352941172,-10.212868451405903,-89.14467638498859,10.21278760797469
14.598540145985398,-10.179926868913537,-88.05016825693922,10.179847462973612
14.4927536231884,-10.14698972356645,-86.97500718177155,10.14691173383784
14.38848920863309,-10.11406192795253,-85.918749808161,10.113985333131552
14.285714285714281,-10.081148248784823,-84.8809653229831,10.081073027569232
14.184397163120563,-10.048253309364474,-83.86123502409698,10.048179440477554
14.084507042253517,-10.015381592081669,-82.85915191044184,10.015309054294391
13.986013986013981,-9.982537440947773,-81.87432028862172,9.982466213099144
13.888888888888884,-9.949725064152473,-80.90635539519889,9.949655125168704
13.793103448275858,-9.916948536639932,-79.95488303395888,9.916879865552005
13.698630136986298,-9.884211802698458,-79.0195392274504,9.884144378658561
13.605442176870744,-9.851518678558646,-78.09996988214087,9.851452480855414
13.513513513513509,-9.818872854995448,-77.19583046656365,9.818807863066638
13.422818791946304,-9.786277899929392,-76.30678570186572,9.786214093375975
13.333333333333329,-9.753737261023392,-75.43250926419636,9.75367461962071
13.245033112582776,-9.72125426827116,-74.57268349840604,9.72119277197885
13.1578947368421,-9.688832136573907,-73.72699914255281,9.688771765545937
13.071895424836597,-9.656473968302176,-72.89515506273847,9.656414702895745
12.987012987012983,-9.624182755839907,-72.07685799782229,9.62412457662299
12.903225806451609,-9.591961384108266,-71.27182231358215,9.591904271866724
12.820512820512816,-9.559812633066667,-70.47976976591498,9.559756568810599
12.738853503184709,-9.527739180188902,-69.70042927268852,9.527684145158162
